inc_inv_mean_$, gov_pen_supp_dva_cnt, occ_clerical_admin_%, inc_own_unincorp_bus_mdn_age_yr, gov_fml_tax_bnft_b_cnt, inc_super_main_src_%, gov_fml_tax_bnft_tot_cnt, lga_code16, inc_over15_wkly_1000_1999_%, inc_excl_gov_pen_mdn_tot_$, inc_earner_excl_gov_pen_mdn_age_yr, hg_edu_comp_yr_9_%, post_sch_adv_dplm_or_dplm_%, year, inc_super_mean_$, inc_super_mdn_$, inc_inv_mdn_$, gov_allo_ft_stu_appren_cnt, post_sch_grad_dplm_grad_cert_%, inc_mdn_empl_inc_$, lbr_stat_unempl_cnt, inc_over15_wkly_2000_2999_%, taxpayers_prv_hlth_insurance_cnt, hg_edu_no_sch_%, gcg_mdn_$, gov_pen_prnt_sngl_cnt, gov_allo_youth_cnt, inc_tot_excl_gov_pen_top_2nd_quartile_%, inc_own_unincorp_bus_main_src_%, inc_tot_excl_gov_pen_p80_p20_ratio, post_sch_cert_%, inc_excl_gov_pen_tot_, yth_engm_wrk_ft_not_stu_%, inc_other_excl_gov_pen_mdn_age_yr, lga_name16, yth_engm_wrk_pt_stu_pt_%, inc_own_unincorp_bus_mdn_$, occ_not_stated_%, gov_pen_srv_dva_cnt, persons_dsbl_prv_dwl_cnt, inc_other_excl_gov_pen_mdn_$, inc_over15_wkly_negative_%, inc_employee_earner_cnt, higher_edu_help_loan_cnt, inc_over15_wkly_over_3k_%, yth_engm_15_19_yrs_tot_cnt, inc_over15_wkly_1_499_%, persons_need_assist_core_activities_%, inc_own_unincorp_bus_mean_$, inc_tot_excl_gov_pen_top_quartile_%, lbr_stat_labour_force_cnt, hg_edu_comp_yr_12_%, inc_earner_excl_gov_pen_tot_cnt, lbr_stat_particip_rate_%, inc_mean_empl_inc_$, occ_manager_%, gov_fml_tax_bnft_a_cnt, inc_inv_main_src_%, gov_pen_newstart_cnt, inc_excl_gov_pen_mean_tot_$, inc_tot_excl_gov_pen_top_5percent_%, inc_super_mdn_age_yr, persons_dsbl_prv_dwl_%, hg_edu_comp_yr_11_%, yth_engm_wrk_pt_stu_ft_%, yth_engm_wrk_ft_stu_pt_%, hg_edu_comp_yr_10_%, post_sch_postgrad_%, post_sch_not_stated_%, inc_super_earner_cnt, occ_tech_trd_worker_%, inc_other_excl_gov_pen_cnt, gcg_mean_$, yth_engm_not_wrk_stu_ft_%, inc_other_excl_gov_pen_mean_$, inc_tot_excl_gov_pen_p20_p50_ratio, occ_professional_%, occ_sales_worker_%, gcg_amount_, inc_tot_excl_gov_pen_3rd_quartile_%, gov_pen_carer_cnt, inc_other_excl_gov_pen_tot_, lbr_stat_unempl_rate_%, post_sch_bachelor_%, gov_pen_age_dva_cnt, yth_engm_fully_engaged_%, inc_super_tot_, inc_over15_wkly_500_999_%, yth_engm_wrk_ft_stu_ft_%, occ_comm_peronal_srv_%, gcg_persons_cnt, gov_pen_dsbl_supp_cnt, inc_tot_excl_gov_pen_top_1percent_%, gov_pen_age_pen_cntrlnk_cnt, inc_other_excl_gov_pen_main_src_%, inc_own_unincorp_bus_tot_, inc_tot_excl_gov_pen_p10_p50_ratio, inc_employee_earner_mdn_age_yr, inc_empl_main_src_%, inc_tot_excl_gov_pen_top_10percent_%, occ_labourer_%, post_sch_over_15_yrs_%, inc_tot_empl_inc_, inc_tot_excl_gov_pen_p80_p50_ratio, gov_pen_newstart_over365days_%, inc_tot_excl_gov_pen_gini_coef, inc_inv_earner_cnt, hg_edu_comp_yr_8_or_blw_%, inc_own_unincorop_bus_cnt, inc_inv_mdn_age_yr, inc_over15_wkly_zero_%, occ_mchnry_opr_drv_%, inc_tot_excl_gov_pen_lowest_quartile_%, inc_inv_tot_, inc_hshld_wkly_mdn_equvlsed_$
null,30,null,null,587,null,801,20110,17.5,null,null,7.3,null,2016,null,null,null,39,null,null,null,2.3,null,0.4,null,100,30,null,null,null,null,null,null,null,Alpine (C),null,null,null,110,null,null,0.5,null,null,1.2,null,34.8,5.3,null,null,null,38.2,null,null,null,null,795,null,339,null,null,null,null,16.7,null,null,19.8,null,null,null,null,null,null,null,null,null,null,null,null,null,133,null,null,null,4,null,null,27.8,null,null,null,433,null,2168,null,null,null,null,null,null,null,null,null,null,72,null,null,6.3,null,null,5.1,null,null,null,676
null,45,null,null,622,null,829,20260,15.8,null,null,8.6,null,2016,null,null,null,37,null,null,null,2,null,0.7,null,134,76,null,null,null,null,null,null,null,Ararat (C),null,null,null,63,null,null,0.6,null,null,1.1,null,32.7,6.5,null,null,null,32.2,null,null,null,null,816,null,489,null,null,null,null,16.4,null,null,17.5,null,null,null,null,null,null,null,null,null,null,null,null,null,164,null,null,null,null,null,null,26.5,null,null,null,665,null,1882,null,null,null,null,null,null,null,null,null,null,76,null,null,8,null,null,4.9,null,null,null,674
null,332,null,null,6500,null,8096,20570,20.2,null,null,7.9,null,2016,null,null,null,2219,null,null,null,3.1,null,0.3,null,1589,736,null,null,null,null,null,null,null,Ballarat (C),null,null,null,479,null,null,0.4,null,null,1.8,null,33.1,6.2,null,null,null,45.3,null,null,null,null,8005,null,3966,null,null,null,null,14.8,null,null,17.3,null,null,null,null,null,null,null,null,null,null,null,null,null,1504,null,null,null,null,null,null,25.8,null,null,null,5294,null,12497,null,null,null,null,null,null,null,null,null,null,79,null,null,5.8,null,null,6.8,null,null,null,746
null,354,null,null,4707,null,5851,20660,25.2,null,null,5,null,2016,null,null,null,1478,null,null,null,6.2,null,0.7,null,700,247,null,null,null,null,null,null,null,Banyule (C),null,null,null,559,null,null,0.4,null,null,3.8,null,26.4,5,null,null,null,60.9,null,null,null,null,5725,null,2615,null,null,null,null,11,null,null,11.1,null,null,null,null,null,null,null,null,null,null,null,null,null,892,null,null,null,14,null,null,22.1,null,null,null,3402,null,13158,null,null,null,null,null,null,null,null,null,null,73,null,null,5,null,null,8.8,null,null,null,1002
null,126,null,null,2001,null,2555,20740,15.1,null,null,9.2,null,2016,null,null,null,123,null,null,null,2.1,null,0.4,null,455,146,null,null,null,null,null,null,null,Bass Coast (S),null,null,null,293,null,null,0.5,null,null,1.4,null,38,6.6,null,null,null,36.6,null,null,null,null,2541,null,1425,null,null,null,null,15.9,null,null,20.5,null,null,null,null,null,null,null,null,null,null,null,null,null,420,null,null,null,8,null,null,26.7,null,null,null,1657,null,6391,null,null,null,null,null,null,null,null,null,null,77,null,null,6.6,null,null,5.7,null,null,null,625
null,121,null,null,2822,null,3644,20830,19.3,null,null,8.9,null,2016,null,null,null,327,null,null,null,3.3,null,0.4,null,611,191,null,null,null,null,null,null,null,Baw Baw (S),null,null,null,284,null,null,0.6,null,null,1.8,null,32.2,5.6,null,null,null,38.2,null,null,null,null,3603,null,1485,null,null,null,null,16.6,null,null,20.6,null,null,null,null,null,null,null,null,null,null,null,null,null,514,null,null,null,8,null,null,25.9,null,null,null,1789,null,6617,null,null,null,null,null,null,null,null,null,null,75,null,null,6.3,null,null,7.5,null,null,null,746
null,344,null,null,1776,null,2280,20910,22.5,null,null,3.6,null,2016,null,null,null,683,null,null,null,8.4,null,0.4,null,265,67,null,null,null,null,null,null,null,Bayside (C),null,null,null,333,null,null,0.4,null,null,11.8,null,21.7,4.3,null,null,null,68.1,null,null,null,null,2234,null,1015,null,null,null,null,9.7,null,null,8.7,null,null,null,null,null,null,null,null,null,null,null,null,null,303,null,null,null,11,null,null,17.8,null,null,null,1645,null,7955,null,null,null,null,null,null,null,null,null,null,69,null,null,2.9,null,null,9.4,null,null,null,1303
null,64,null,null,884,null,1094,21010,16.5,null,null,8.8,null,2016,null,null,null,71,null,null,null,2,null,0.3,null,217,65,null,null,null,null,null,null,null,Benalla (R),null,null,null,97,null,null,0.5,null,null,1.2,null,35.9,6.8,null,null,null,34.4,null,null,null,null,1087,null,508,null,null,null,null,17.7,null,null,20,null,null,null,null,null,null,null,null,null,null,null,null,null,216,null,null,null,null,null,null,27.2,null,null,null,739,null,2519,null,null,null,null,null,null,null,null,null,null,77,null,null,7.6,null,null,5.8,null,null,null,645
null,240,null,null,2889,null,3703,21110,23.4,null,null,2.9,null,2016,null,null,null,2409,null,null,null,8.2,null,0.6,null,246,88,null,null,null,null,null,null,null,Boroondara (C),null,null,null,324,null,null,0.4,null,null,10.5,null,21,3.8,null,null,null,74.8,null,null,null,null,3636,null,1543,null,null,null,null,7.2,null,null,5.9,null,null,null,null,null,null,null,null,null,null,null,null,null,385,null,null,null,6,null,null,17.8,null,null,null,2191,null,10114,null,null,null,null,null,null,null,null,null,null,65,null,null,2.7,null,null,11.5,null,null,null,1298
null,128,null,null,14617,null,17204,21180,17.5,null,null,5.4,null,2016,null,null,null,3463,null,null,null,2.2,null,3.3,null,2622,836,null,null,null,null,null,null,null,Brimbank (C),null,null,null,1011,null,null,0.9,null,null,0.8,null,33.3,6.4,null,null,null,52.3,null,null,null,null,17090,null,9822,null,null,null,null,9.2,null,null,11.6,null,null,null,null,null,null,null,null,null,null,null,null,null,3947,null,null,null,6,null,null,24.1,null,null,null,7016,null,21133,null,null,null,null,null,null,null,null,null,null,77,null,null,9.7,null,null,12.5,null,null,null,700
