rank,name,singer
1,"""Shape of You""",Ed Sheeran
2,"""Blinding Lights""",The Weeknd
3,"""Dance Monkey""",Tones and I
4,"""Rockstar""",Post Malone
5,"""Someone You Loved""",Lewis Capaldi
6,"""One Dance""",Drake
7,"""Closer""",The Chainsmokers
8,"""Sunflower""",Post Malone
9,"""Señorita""",Shawn Mendes
10,"""Believer""",Imagine Dragons
11,"""Bad Guy""",Billie Eilish
12,"""Perfect""",Ed Sheeran
13,"""Say You Won't Let Go""",James Arthur
14,"""Thinking Out Loud""",Ed Sheeran
15,"""God's Plan""",Drake
16,"""Lucid Dreams""",Juice WRLD
17,"""Don't Start Now""",Dua Lipa
18,"""Photograph""",Ed Sheeran
19,"""Sad!""",XXXTentacion
20,"""Starboy""",The Weeknd
21,"""Something Just Like This""",The Chainsmokers
22,"""Shallow""",Lady Gaga
23,"""Bohemian Rhapsody""",Queen
24,"""Love Yourself""",Justin Bieber
25,"""Havana""",Camila Cabello
26,"""Lovely""",Billie Eilish
27,"""All of Me""",John Legend
28,"""Thunder""",Imagine Dragons
29,"""7 Rings""",Ariana Grande
30,"""Take Me to Church""",Hozier
31,"""Circles""",Post Malone
32,"""Jocelyn Flores""",XXXTentacion
33,"""Goosebumps""",Travis Scott
34,"""XO Tour Llif3""",Lil Uzi Vert
35,"""Watermelon Sugar""",Harry Styles
36,"""New Rules""",Dua Lipa
37,"""Happier""",Marshmello
38,"""Stressed Out""",Twenty One Pilots
39,"""Sicko Mode""",Travis Scott
40,"""Lean On""",Major Lazer
41,"""Sorry""",Justin Bieber
42,"""Humble""",Kendrick Lamar
43,"""Stay""",The Kid Laroi
44,"""Let Her Go""",Passenger
45,"""Better Now""",Post Malone
46,"""Roses (Imanbek Remix)""",Saint Jhn
47,"""Let Me Love You""",DJ Snake
48,"""Faded""",Alan Walker
49,"""Don't Let Me Down""",The Chainsmokers
50,"""Congratulations""",Post Malone
51,"""Despacito (Remix)""",Luis Fonsi
52,"""Wake Me Up""",Avicii
53,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner
54,"""Stay with Me""",Sam Smith
55,"""Counting Stars""",OneRepublic
56,"""I Don't Care""",Ed Sheeran
57,"""Treat You Better""",Shawn Mendes
58,"""Thank U, Next""",Ariana Grande
59,"""Without Me""",Halsey
60,"""Uptown Funk""",Mark Ronson
61,"""Riptide""",Vance Joy
62,"""The Hills""",The Weeknd
63,"""Can't Hold Us""",Macklemore
64,"""Too Good at Goodbyes""",Sam Smith
65,"""Unforgettable""",French Montana
66,"""The Box""",Roddy Ricch
67,"""Stitches""",Shawn Mendes
68,"""Memories""",Maroon 5
69,"""Moonlight""",XXXTentacion
70,"""Cheap Thrills""",Sia
71,"""Mood""",24kGoldn
72,"""Girls Like You""",Maroon 5
73,"""Demons""",Imagine Dragons
74,"""That's What I Like""",Bruno Mars
75,"""7 Years""",Lukas Graham
76,"""Rockstar""",DaBaby
77,"""Mr. Brightside""",The Killers
78,"""Despacito""",Luis Fonsi
79,"""Sweater Weather""",The Neighbourhood
80,"""I Like Me Better""",Lauv
81,"""See You Again""",Wiz Khalifa
82,"""Wonderwall""",Oasis
83,"""I Like It""","Cardi B, Bad Bunny"
84,"""Can't Stop the Feeling!""",Justin Timberlake
85,"""Lose Yourself""",Eminem
86,"""Drivers License""",Olivia Rodrigo
87,"""Heathens""",Twenty One Pilots
88,"""One Kiss""",Calvin Harris
89,"""Youngblood""",5 Seconds Of Summer
90,"""I'm Yours""",Jason Mraz
91,"""I Fall Apart""",Post Malone
92,"""Heat Waves""",Glass Animals
93,"""Sugar""",Maroon 5
94,"""Montero (Call Me by Your Name)""",Lil Nas X
95,"""Dakiti""",Bad Bunny
96,"""Radioactive""",Imagine Dragons
97,"""When the Party's Over""",Billie Eilish
98,"""Good 4 U""",Olivia Rodrigo
99,"""Attention""",Charlie Puth
100,"""Old Town Road (Remix)""",Lil Nas X
